,Pick,Team,Name,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year,Height,Weight,Birthday,Position1,Position2,Position3,All_Star_apps,All_NBA_apps,All_Def_apps,HOF
170,8,CLE,Ron Harper,Miami University,15,1009,31199,13910,4309,3916,.446,.289,.720,30.9,13.8,4.3,3.9,65.8,.101,1.8,30.3,1986,198cm,83kg,1964-01-20,Point Guard,Shooting Guard,Point Guard,0,0,0,0
171,9,CHI,Brad Sellers,Ohio State,6,398,7154,2509,1064,435,.452,.200,.793,18.0,6.3,2.7,1.1,9.8,.066,-2.2,-0.4,1986,213cm,95kg,1962-12-17,Power Forward,Small Forward,Power Forward,0,0,0,0
172,10,SAS,Johnny Dawkins,Duke,9,541,14859,5984,1336,2997,.456,.330,.857,27.5,11.1,2.5,5.5,21.8,.070,-0.9,4.2,1986,188cm,74kg,1963-09-28,Point Guard,Point Guard,Point Guard,0,0,0,0
173,11,DET,John Salley,Georgia Tech,11,748,16524,5228,3356,916,.506,.214,.714,22.1,7.0,4.5,1.2,41.5,.121,0.5,10.5,1986,211cm,104kg,1964-05-16,Center,Power Forward,Center,0,0,0,0
174,12,WSB,John Williams,LSU,8,435,10952,4406,2201,1262,.451,.225,.704,25.2,10.1,5.1,2.9,19.9,.087,1.2,8.8,1986,203cm,106kg,1966-10-26,Small Forward,Small Forward,Small Forward,0,0,0,0
175,13,NJN,Pearl Washington,Syracuse,3,194,4044,1660,370,733,.452,.184,.746,20.8,8.6,1.9,3.8,1.9,.023,-1.7,0.3,1986,188cm,86kg,1964-01-06,Point Guard,Point Guard,Point Guard,0,0,0,0
176,14,POR,Walter Berry,St. John's,3,205,4863,2882,971,292,.539,.200,.638,23.7,14.1,4.7,1.4,8.2,.081,-1.0,1.2,1986,203cm,97kg,1964-05-14,Power Forward,Small Forward,Power Forward,0,0,0,0
177,15,UTA,Dell Curry,Virginia Tech,16,1083,23549,12670,2617,1909,.457,.402,.843,21.7,11.7,2.4,1.8,41.5,.085,0.9,17.1,1986,193cm,86kg,1964-06-25,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
178,16,DEN,Maurice Martin,Saint Joseph's,2,69,422,204,65,49,.378,.211,.598,6.1,3.0,0.9,0.7,-0.3,-.033,-6.0,-0.4,1986,198cm,90kg,1964-07-02,Small Forward,Small Forward,Small Forward,0,0,0,0
179,17,SAC,Harold Pressley,Villanova,4,299,6802,2702,1339,628,.437,.358,.778,22.7,9.0,4.5,2.1,10.0,.070,0.3,4.0,1986,201cm,95kg,1963-07-14,Power Forward,Small Forward,Power Forward,0,0,0,0
180,18,DEN,Mark Alarie,Duke,5,325,5500,2432,1120,363,.475,.252,.775,16.9,7.5,3.4,1.1,8.4,.073,-2.3,-0.5,1986,203cm,98kg,1963-12-11,Power Forward,Power Forward,Power Forward,0,0,0,0
181,19,ATL,Billy Thompson,Louisville,6,300,6697,2566,1615,514,.505,.154,.674,22.3,8.6,5.4,1.7,9.6,.069,-1.3,1.2,1986,201cm,88kg,1963-12-01,Small Forward,Small Forward,Small Forward,0,0,0,0
182,20,HOU,Buck Johnson,Alabama,7,505,11849,4617,1760,856,.488,.113,.738,23.5,9.1,3.5,1.7,20.8,.084,-1.4,1.7,1986,201cm,86kg,1964-01-03,Small Forward,Small Forward,Small Forward,0,0,0,0
183,21,WSB,Anthony Jones,UNLV,3,164,1704,594,214,119,.393,.306,.740,10.4,3.6,1.3,0.7,0.8,.022,-2.8,-0.3,1986,198cm,88kg,1962-09-13,Small Forward,Shooting Guard,Small Forward,0,0,0,0
184,22,MIL,Scott Skiles,Michigan State,10,600,16789,6652,1526,3881,.435,.379,.889,28.0,11.1,2.5,6.5,30.4,.087,-0.4,6.7,1986,185cm,81kg,1964-03-05,Point Guard,Point Guard,Point Guard,0,0,0,0
185,23,LAL,Ken Barlow,Notre Dame,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
186,25,DAL,Mark Price,Georgia Tech,12,722,21560,10989,1848,4863,.472,.402,.904,29.9,15.2,2.6,6.7,71.1,.158,3.7,31.1,1986,183cm,77kg,1964-02-15,Point Guard,Point Guard,Point Guard,4,4,0,0
187,26,IND,Greg Dreiling,Kansas,10,474,4241,1014,1018,186,.467,.333,.649,8.9,2.1,2.1,0.4,4.0,.045,-5.3,-3.5,1986,216cm,113kg,1962-11-07,Center,Center,Center,0,0,0,0
188,27,DET,Dennis Rodman,Southeastern Oklahoma State University,14,911,28839,6683,11954,1600,.521,.231,.584,31.7,7.3,13.1,1.8,89.8,.150,0.9,21.0,1986,201cm,95kg,1961-05-13,Power Forward,Small Forward,Power Forward,2,2,8,Hall of Fame
189,28,CHI,Larry Krystkowiak,Montana,9,420,9097,3425,2051,513,.457,.139,.795,21.7,8.2,4.9,1.2,15.6,.082,-2.7,-1.6,1986,206cm,99kg,1964-09-23,Power Forward,Power Forward,Power Forward,0,0,0,0
190,29,CLE,Johnny Newman,Richmond,16,1159,28435,12740,2536,1688,.461,.336,.810,24.5,11.0,2.2,1.5,50.3,.085,-1.6,2.9,1986,201cm,86kg,1963-11-28,Small Forward,Shooting Guard,Small Forward,0,0,0,0
191,30,SEA,Nate McMillan,NC State,12,796,20462,4733,3222,4893,.443,.343,.650,25.7,5.9,4.0,6.1,50.2,.118,3.3,27.2,1986,196cm,88kg,1964-08-03,Point Guard,Shooting Guard,Point Guard,0,0,2,0
192,31,PHO,Joe Ward,Georgia,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
193,32,ATL,Cedric Henderson,Georgia,1,8,16,11,8,0,.500,,1.000,2.0,1.4,1.0,0.0,0.0,-.015,-8.6,0.0,1986,203cm,95kg,1965-10-03,Power Forward,Power Forward,Power Forward,0,0,0,0
194,33,SAS,Kevin Duckworth,Eastern Illinois University,11,684,17462,8085,3945,598,.468,.208,.736,25.5,11.8,5.8,0.9,24.7,.068,-3.8,-7.6,1986,213cm,124kg,1964-04-01,Center,Center,Center,2,0,0,0
195,34,SAC,Johnny Rogers,"University of California, Irvine",2,69,636,251,104,29,.472,.000,.679,9.2,3.6,1.5,0.4,0.4,.032,-4.8,-0.4,1986,208cm,102kg,1963-12-30,Power Forward,Power Forward,Power Forward,0,0,0,0
196,35,DAL,Milt Wagner,Louisville,2,53,496,215,35,76,.422,.296,.875,9.4,4.1,0.7,1.4,0.4,.039,-4.0,-0.2,1986,196cm,83kg,1963-02-20,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
197,36,WSB,Steve Mitchell,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
198,37,POR,Parragiotis Fasoulas,NC State,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
199,38,SEA,Lemone Lampley,DePaul,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
200,39,PHO,Rafael Addison,Syracuse,6,379,5697,2186,780,339,.449,.282,.772,15.0,5.8,2.1,0.9,4.9,.041,-3.8,-2.5,1986,201cm,97kg,1964-07-22,Small Forward,Small Forward,Small Forward,0,0,0,0
201,40,ATL,Augusto Binelli,,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
202,41,DEN,Otis Smith,Jacksonville University,6,375,7720,3951,1416,690,.455,.251,.762,20.6,10.5,3.8,1.8,12.3,.076,0.2,4.2,1986,196cm,95kg,1964-01-30,Small Forward,Shooting Guard,Small Forward,0,0,0,0
203,42,ATL,Ron Kellogg,Kansas,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
204,43,HOU,Dave Feitl,Texas-El Paso,5,275,3001,1192,815,125,.433,.000,.751,10.9,4.3,3.0,0.5,1.4,.022,-5.8,-2.9,1986,211cm,106kg,1962-06-08,Center,Center,Center,0,0,0,0
205,44,PHI,David Wingate,Georgetown,15,740,13243,4166,1420,1376,.445,.272,.738,17.9,5.6,1.9,1.9,11.7,.042,-2.4,-1.2,1986,196cm,83kg,1963-12-15,Small Forward,Shooting Guard,Small Forward,0,0,0,0
206,45,MIL,Keith Smith,Loyola Marymount University,1,42,461,138,32,43,.380,.333,.750,11.0,3.3,0.8,1.0,0.0,-.003,-5.5,-0.4,1986,190cm,81kg,1964-03-09,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
207,46,PHO,Jeff Hornacek,Iowa State,14,1077,33964,15659,3646,5281,.496,.403,.877,31.5,14.5,3.4,4.9,108.9,.154,2.9,42.1,1986,190cm,86kg,1963-05-03,Point Guard,Shooting Guard,Point Guard,1,0,0,0
208,47,NYK,Michael Jackson,Georgetown,3,89,888,188,70,198,.369,.273,.675,10.0,2.1,0.8,2.2,-0.2,-.011,-4.8,-0.6,1986,188cm,83kg,1964-07-13,Point Guard,Point Guard,Point Guard,0,0,0,0
209,48,SAS,Forrest McKenzie,Loyola Marymount University,1,6,42,17,7,1,.250,.500,1.000,7.0,2.8,1.2,0.2,-0.2,-.223,-16.8,-0.2,1986,201cm,90kg,1963-02-16,Small Forward,Small Forward,Small Forward,0,0,0,0
210,49,POR,Juden Smith,Texas-El Paso,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
211,50,CLE,Kevin Henderson,Cal State Fullerton,2,22,235,65,24,34,.393,.000,.607,10.7,3.0,1.1,1.5,-0.2,-.038,-6.4,-0.3,1986,193cm,88kg,1964-03-22,Point Guard,Shooting Guard,Point Guard,0,0,0,0
212,51,GSW,Mike Williams,Bradley,1,21,102,15,23,2,.333,.000,.500,4.9,0.7,1.1,0.1,0.0,.012,-7.4,-0.1,1986,203cm,115kg,1963-08-14,Power Forward,Small Forward,Power Forward,0,0,0,0
213,52,CHI,Ricky Wilson,George Mason,1,24,420,125,27,69,.391,.385,.725,17.5,5.2,1.1,2.9,0.3,.032,-2.6,-0.1,1986,190cm,88kg,1964-07-16,Point Guard,Point Guard,Point Guard,0,0,0,0
214,53,SEA,Tod Murphy,"University of California, Irvine",5,191,4071,1049,941,183,.454,.290,.679,21.3,5.5,4.9,1.0,8.0,.095,-1.5,0.6,1986,206cm,99kg,1963-12-24,Center,Power Forward,Center,0,0,0,0
215,54,LAC,Dwayne Polee,Pepperdine,1,1,6,2,0,0,.250,.000,,6.0,2.0,0.0,0.0,0.0,-.397,-22.3,0.0,1986,196cm,81kg,1963-03-02,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
216,55,PHO,Kenny Gattison,Old Dominion,9,494,9927,3923,2327,444,.520,.083,.649,20.1,7.9,4.7,0.9,16.9,.082,-2.4,-1.1,1986,203cm,102kg,1964-05-23,Power Forward,Power Forward,Power Forward,0,0,0,0
217,56,PHI,Keith Colbert,Virginia Tech,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
218,57,SAC,Bruce Douglas,Illinois,1,8,98,14,14,17,.292,.000,.000,12.3,1.8,1.8,2.1,-0.2,-.082,-3.0,0.0,1986,190cm,88kg,1964-04-09,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
219,58,WSB,Dave Henderson,Duke,1,22,351,126,35,34,.405,.000,.681,16.0,5.7,1.6,1.5,-0.4,-.058,-7.1,-0.4,1986,196cm,88kg,1964-07-21,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
220,59,GSW,Wendell Alexis,Syracuse,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
221,60,POR,Dražen Petrović,,4,290,7669,4461,669,701,.506,.437,.841,26.4,15.4,2.3,2.4,21.5,.134,0.8,5.4,1986,196cm,88kg,1964-10-22,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,Hall of Fame
222,61,UTA,John Shasky,Minnesota,3,136,1505,517,379,34,.466,.000,.655,11.1,3.8,2.8,0.3,2.5,.079,-3.4,-0.5,1986,211cm,106kg,1964-07-31,Center,Center,Center,0,0,0,0
223,62,DAL,Anthony Welch,Illinois,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
224,63,UTA,Bill Breeding,Rocky Mountain College,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
225,64,DEN,Don Redden,LSU,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
226,65,ATL,Dave Hoppen,Nebraska,6,169,2401,837,647,100,.518,.200,.751,14.2,5.0,3.8,0.6,3.6,.072,-4.2,-1.4,1986,211cm,106kg,1964-03-13,Center,Center,Center,0,0,0,0
227,66,HOU,Anthony Bowie,Oklahoma,8,461,8349,2945,1021,840,.475,.318,.824,18.1,6.4,2.2,1.8,12.3,.070,-1.3,1.4,1986,198cm,86kg,1963-11-09,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
228,67,PHI,Ron Rowan,St. John's,1,7,16,12,1,1,.444,1.000,.750,2.3,1.7,0.1,0.1,0.0,.084,8.5,0.0,1986,196cm,90kg,1962-04-23,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
229,68,MIL,Baskerville Holmes,Memphis,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
230,69,LAL,Andre Turner,Memphis,6,170,2523,767,263,535,.422,.237,.764,14.8,4.5,1.5,3.1,1.8,.034,-2.3,-0.2,1986,180cm,72kg,1964-12-13,Point Guard,Point Guard,Point Guard,0,0,0,0
231,70,ATL,Jim Les,Bradley,7,321,4222,1210,396,930,.397,.396,.818,13.2,3.8,1.2,2.9,8.1,.092,-0.7,1.4,1986,180cm,74kg,1963-08-18,Point Guard,Point Guard,Point Guard,0,0,0,0
232,71,NYK,Calvin Thompson,Kansas,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
233,72,IND,Derrick Taylor,LSU,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
234,73,CLE,Warren Martin,UNC,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
235,74,CHI,Scott Meents,Illinois,2,39,201,72,40,15,.361,1.000,.704,5.2,1.8,1.0,0.4,0.1,.017,-1.6,0.0,1986,208cm,102kg,1964-01-04,Power Forward,Power Forward,Power Forward,0,0,0,0
236,75,GSW,Dan Bingenheimer,Missouri,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
237,76,SEA,Michael Graham,Georgetown,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
238,77,PHO,Grant Gondrezick,Pepperdine,2,91,1080,454,146,115,.438,.250,.687,11.9,5.0,1.6,1.3,0.8,.036,-3.0,-0.3,1986,196cm,92kg,1963-01-19,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
239,78,LAC,John Brownlee,Texas,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
240,79,SAS,Carlos Briggs,Baylor,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
241,80,SAC,Alvin Franklin,Houston,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
242,81,NJN,Steve Hale,UNC,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
243,82,WSB,Barry Mungar,St. Bonaventure,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
244,83,POR,David Shaffer,Florida State,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
245,84,UTA,Marty Embry,DePaul,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
246,85,DAL,Myron Jackson,Little Rock,1,8,22,11,3,6,.222,,.875,2.8,1.4,0.4,0.8,0.0,-.104,-5.6,0.0,1986,190cm,83kg,1964-05-06,Point Guard,Point Guard,Point Guard,0,0,0,0
247,86,DET,Chauncey Robinson,Mississippi State,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
248,87,DEN,Anthony Watson,San Diego State,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
249,88,ATL,Efrem Winters,Illinois,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
250,89,HOU,Conner Henry,UC Santa Barbara,2,93,756,305,83,102,.378,.379,.757,8.1,3.3,0.9,1.1,0.1,.007,-3.8,-0.3,1986,201cm,88kg,1963-07-21,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
251,90,PHI,Wes Stallings,East Tennessee State University,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
252,91,SAC,Bob Beecher,Virginia Tech,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
253,92,LAL,Dale Blaney,West Virginia,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
254,93,BOS,Tony Benford,Texas Tech,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
255,94,NYK,Jerome Mincey,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
256,95,IND,Richard Rellford,Michigan,1,4,42,16,7,1,.625,,.750,10.5,4.0,1.8,0.3,0.0,.048,-1.8,0.0,1986,198cm,104kg,1964-02-16,Small Forward,Small Forward,Small Forward,0,0,0,0
257,96,CLE,Ben Davis,Gardner-Webb University,,,,,,,,,,,,,,,,,,1986,206cm,108kg,1972-12-26,Power Forward,Power Forward,Power Forward,0,0,0,0
258,97,GSW,Clinton Smith,Cleveland State University,2,46,386,134,60,49,.430,.000,.714,8.4,2.9,1.3,1.1,0.3,.035,-2.4,0.0,1986,198cm,95kg,1964-01-19,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
259,98,CHI,Jimmy Gilbert,Texas A&M,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
260,99,SEA,Dominic Pressley,Boston College,1,13,124,23,15,26,.290,.000,.556,9.5,1.8,1.2,2.0,-0.2,-.069,-6.7,-0.1,1986,188cm,77kg,1964-05-30,Point Guard,Point Guard,Point Guard,0,0,0,0
261,100,LAC,Steffond Johnson,San Diego State,1,29,234,74,43,5,.422,.000,.526,8.1,2.6,1.5,0.2,-0.2,-.037,-9.8,-0.5,1986,203cm,108kg,1962-11-04,Power Forward,Power Forward,Power Forward,0,0,0,0
262,101,PHO,Greg Spurling,Carson-Newman College,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
263,102,SAS,Earl Kelley,UConn,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
264,103,SAC,Keith Morrison,Washington State,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
265,104,WSB,Paul Fortier,Washington,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
266,105,NJN,Archie Johnson,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
267,106,POR,Jerry Adams,Oregon,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
268,107,UTA,Kerry Boagni,Cal State Fullerton,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
269,108,DAL,Jay Bilas,Duke,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
270,109,DET,Clarence Hanley,Old Dominion,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
271,110,DEN,Jon Collins,Eastern Illinois University,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
272,111,ATL,Nicky Jones,Virginia Commonwealth,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
273,112,HOU,Andre Banks,Iowa,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
274,113,PHI,Kevin Holmes,DePaul,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
275,114,MIL,Bobby Deaton,Southwstern University,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
276,115,LAL,Roger Harden,Kentucky,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
277,116,BOS,Dave Colbert,Dayton,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
278,117,NYK,Butch Wade,Michigan,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
279,118,IND,Jeff Hall,Louisville,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
280,119,CLE,Gilbert Wilburn,New Mexico State,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
281,120,CHI,Pete Myers,Little Rock,9,377,6039,1804,671,807,.421,.219,.668,16.0,4.8,1.8,2.1,5.8,.046,-2.5,-0.8,1986,198cm,81kg,1963-09-15,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
282,122,SEA,Curtis Kitchen,South Florida,1,6,31,9,9,1,.500,.000,.750,5.2,1.5,1.5,0.2,0.1,.217,4.8,0.1,1986,206cm,106kg,1964-01-30,Power Forward,Power Forward,Power Forward,0,0,0,0
283,123,PHO,Jim McCaffrey,Holy Cross,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
284,124,LAC,Tim Kempton,Notre Dame,8,280,3758,1259,795,307,.481,.000,.677,13.4,4.5,2.8,1.1,3.3,.042,-3.8,-1.7,1986,208cm,111kg,1964-01-25,Power Forward,Power Forward,Power Forward,0,0,0,0
285,125,SAS,Kevin Lewis,SMU,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
286,126,SAC,John Flowers,UNLV,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
287,127,NJN,Troy Webster,George Washington,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
288,128,WSB,Lorenzo Duncan,Sam Houston State University,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
289,129,POR,Tony Hampton,Montana State,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
290,130,UTA,Chuck Everson,Villanova,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
291,131,DAL,Greg Anderson,Lamar University,,,,,,,,,,,,,,,,,,1986,208cm,104kg,1964-06-22,Center,Power Forward,Center,0,0,0,0
292,132,DET,Greg Grant,Utah State University,,,,,,,,,,,,,,,,,,1986,170cm,63kg,1966-08-29,Point Guard,Point Guard,Point Guard,0,0,0,0
293,133,DEN,Anthony Frederick,Pepperdine,3,147,1640,718,280,135,.439,.273,.699,11.2,4.9,1.9,0.9,0.7,.019,-2.5,-0.2,1986,201cm,92kg,1964-12-07,Small Forward,Small Forward,Small Forward,0,0,0,0
294,134,ATL,Alexander Volkov,,2,149,2453,1019,384,333,.455,.333,.613,16.5,6.8,2.6,2.2,4.5,.087,0.5,1.5,1986,208cm,98kg,1964-03-28,Center,Center,Center,0,0,0,0
295,135,HOU,Robert Worthy,Myers University,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
296,136,PHI,Andre McCloud,Seton Hall,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
297,137,MIL,John Kimbrell,Lipscomb,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
298,138,LAL,Walter Downing,Marquette,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
299,139,BOS,Greg Wendt,Detroit Mercy,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
300,140,NYK,Duane Kendall,South Carolina,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
301,141,IND,Steve Woodside,Oregon State,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
302,142,CLE,Ralph Dalton,Georgetown,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
303,143,GSW,Steve Kenilvort,Santa Clara,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
304,144,CHI,Robert Henderson,Michigan,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
305,145,SEA,Glen McCants,Clemson,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
306,146,LAC,Johnny Brown,New Mexico,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
307,147,PHO,Damon Goodwin,Dayton,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
308,148,SAS,Michael Anderson,University of Texas-Pan American,,,,,,,,,,,,,,,,,,1986,180cm,83kg,1966-03-23,Point Guard,Point Guard,Point Guard,0,0,0,0
309,149,SAC,Ron Rankin,SE Missouri State,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
310,150,WSB,Joe Price,Notre Dame,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
311,151,NJN,Jim Dolan,Notre Dame,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
312,152,POR,Randy Schiff,Linfield College,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
313,153,UTA,Mark Mitchell,University of Hartford,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
314,154,DAL,Kim Cooksey,Middle Tennessee,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
315,155,DET,Larry Polec,Michigan State,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
316,156,DEN,Mike Marshall,McNeese State University,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
317,157,ATL,Valerie Tikhonenko,,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
318,158,HOU,Rick Olson,Wisconsin,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
319,159,PHI,Dan Palombizio,Ball State University,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
320,160,MIL,Jeff Strong,Missouri,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
321,161,LAL,Mark Coleman,Mississippi Valley State University,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
322,162,BOS,Tom Ivey,Boston University,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
323,1,SAS,David Robinson,United States Naval Academy,14,987,34271,20790,10497,2441,.518,.250,.736,34.7,21.1,10.6,2.5,178.7,.250,7.5,82.0,1987,216cm,106kg,1965-08-06,Center,Center,Center,10,10,8,Hall of Fame
324,2,PHO,Armen Gilliam,UNLV,13,929,26421,12700,6401,1088,.489,.000,.776,28.4,13.7,6.9,1.2,58.1,.106,-0.7,8.8,1987,206cm,104kg,1964-05-28,Power Forward,Small Forward,Power Forward,0,0,0,0
325,3,NJN,Dennis Hopson,Ohio State,5,334,7509,3633,939,539,.431,.271,.765,22.5,10.9,2.8,1.6,7.1,.046,-1.7,0.7,1987,196cm,90kg,1965-04-22,Small Forward,Shooting Guard,Small Forward,0,0,0,0
326,4,LAC,Reggie Williams,Georgetown,10,599,16013,7508,2393,1492,.437,.298,.784,26.7,12.5,4.0,2.5,26.0,.078,0.2,8.9,1987,201cm,86kg,1964-03-05,Small Forward,Small Forward,Small Forward,0,0,0,0
327,5,SEA,Scottie Pippen,University of Central Arkansas,17,1178,41069,18940,7494,6135,.473,.326,.704,34.9,16.1,6.4,5.2,125.1,.146,4.1,63.2,1987,203cm,95kg,1965-09-25,Small Forward,Small Forward,Small Forward,7,7,10,Hall of Fame
328,6,SAC,Kenny Smith,UNC,10,737,22213,9397,1454,4073,.480,.399,.829,30.1,12.8,2.0,5.5,46.8,.101,0.0,11.2,1987,190cm,77kg,1965-03-08,Point Guard,Point Guard,Point Guard,0,0,0,0
329,7,CLE,Kevin Johnson,California,12,735,25061,13127,2404,6711,.493,.305,.841,34.1,17.9,3.3,9.1,92.8,.178,3.9,37.3,1987,185cm,81kg,1966-03-04,Point Guard,Point Guard,Point Guard,3,5,0,0
330,8,CHI,Olden Polynice,Virginia,15,1058,24884,8265,7110,744,.505,.192,.535,23.5,7.8,6.7,0.7,46.8,.090,-2.3,-1.9,1987,211cm,99kg,1964-11-21,Center,Center,Center,0,0,0,0
331,9,SEA,Derrick McKey,Alabama,15,937,27229,10266,4387,2254,.486,.316,.779,29.1,11.0,4.7,2.4,61.8,.109,1.0,20.4,1987,206cm,92kg,1966-10-10,Small Forward,Small Forward,Small Forward,0,0,2,0
332,10,CHI,Horace Grant,Clemson,17,1165,38621,12996,9443,2575,.509,.063,.692,33.2,11.2,8.1,2.2,118.2,.147,1.4,33.1,1987,208cm,97kg,1965-07-04,Center,Power Forward,Center,1,0,4,0
333,11,IND,Reggie Miller,UCLA,18,1389,47619,25279,4182,4141,.471,.395,.888,34.3,18.2,3.0,3.0,174.4,.176,3.5,66.1,1987,201cm,83kg,1965-08-24,Shooting Guard,Shooting Guard,Shooting Guard,5,3,0,Hall of Fame
